,0,1,2,3,value,trend,noise
0,0.0,0.0,1.0,99.0,117.40106905435155,-0.9924844038580456,
1,0.0,0.0,2.0,98.0,117.21553642383176,-0.9924734475710751,
2,0.0,0.0,3.0,97.0,117.79745137915566,-0.9924660424981082,
3,0.0,0.0,4.0,96.0,117.59847565298831,-0.9924541351907459,
4,0.0,0.0,5.0,95.0,117.1062983128479,-0.9924337760740846,
5,0.0,0.0,6.0,94.0,116.84490717570097,-0.9924175558854781,
6,0.0,0.0,7.0,93.0,117.16153408202483,-0.9924072079604755,
7,0.0,0.0,8.0,92.0,116.86656181517839,-0.9923886436408678,
8,0.0,0.0,9.0,91.0,116.54497482625669,-0.9923681950650588,
9,0.0,0.0,10.0,90.0,116.54614845328894,-0.992351703403094,
10,0.0,0.0,11.0,89.0,116.13451474230298,-0.9923182981070693,
11,0.0,0.0,12.0,88.0,115.71600193623756,-0.9922908104875474,
12,0.0,0.0,13.0,87.0,115.63281614770172,-0.9922682689851429,
13,0.0,0.0,14.0,86.0,115.45549455930531,-0.9922421914896488,
14,0.0,0.0,15.0,85.0,115.14682558376073,-0.9921999785942135,
15,0.0,0.0,16.0,84.0,114.56910075044199,-0.9921605337853051,
16,0.0,0.0,17.0,83.0,114.32882270396958,-0.992126251167134,
17,0.0,0.0,18.0,82.0,113.97614890890716,-0.9920870750842391,
18,0.0,0.0,19.0,81.0,112.68686668377931,-0.9920065963761177,
19,0.0,0.0,20.0,80.0,111.87429133935696,-0.9919478932518758,
20,0.0,0.0,21.0,79.0,111.38166273795729,-0.9918935811938071,
21,0.0,0.0,22.0,78.0,110.43073776616366,-0.9918227348167177,
22,0.0,0.0,23.0,77.0,109.39152407421295,-0.9917439131940509,
23,0.0,0.0,24.0,76.0,107.62760414844067,-0.9916180666629791,
24,0.0,0.0,25.0,75.0,106.69991023330878,-0.9915279104237255,
25,0.0,0.0,26.0,74.0,105.71820904274458,-0.9914284120618275,
26,0.0,0.0,27.0,73.0,104.23804493190174,-0.9913044591025675,
27,0.0,0.0,28.0,72.0,102.24813621530546,-0.9911273374219812,
28,0.0,0.0,29.0,71.0,100.46809596030842,-0.9909672187553219,
29,0.0,0.0,30.0,70.0,98.5231519157077,-0.9907853100330306,
30,0.0,0.0,31.0,69.0,96.39698330696953,-0.9905778540566101,
31,0.0,0.0,32.0,68.0,93.59874642062887,-0.9902855423813716,
32,0.0,0.0,33.0,67.0,91.01753482710572,-0.9900040549129001,
33,0.0,0.0,34.0,66.0,88.43176417856105,-0.9896821311924981,
34,0.0,0.0,35.0,65.0,85.2685292143209,-0.9892913110787049,
35,0.0,0.0,36.0,64.0,81.77473201787362,-0.9888242352630247,
36,0.0,0.0,37.0,63.0,77.24593305204952,-0.9881728752524034,
37,0.0,0.0,38.0,62.0,73.55502704207015,-0.9875513440979673,
38,0.0,0.0,39.0,61.0,69.38343938754369,-0.9867705980738354,
39,0.0,0.0,40.0,60.0,64.13036858156761,-0.9856661585870287,
40,0.0,0.0,41.0,59.0,58.85502457118333,-0.9843379316000332,
41,0.0,0.0,42.0,58.0,52.93407154562325,-0.9825362819098838,
42,0.0,0.0,43.0,57.0,46.074542041619,-0.979900612201031,
43,0.0,0.0,44.0,56.0,39.23821710642826,-0.9763339710171329,
44,0.0,0.0,45.0,55.0,32.23872411232962,-0.9711955740916975,
45,0.0,0.0,46.0,54.0,24.83463400155734,-0.9638628688293573,
46,0.0,0.0,47.0,53.0,18.574967642489103,-0.9545850589514727,
47,0.0,0.0,48.0,52.0,14.509941141142075,-0.9436922722094606,
48,0.0,0.0,49.0,51.0,11.23713218110669,-0.9297248199816666,
