,0,1,2,3,value,trend,noise
0,0.0,0.0,1.0,99.0,20.948563081338087,-0.8402180310991127,
1,0.0,0.0,2.0,98.0,25.060974911751543,-0.8472755731783101,
2,0.0,0.0,3.0,97.0,23.387946910862407,-0.8513167222124999,
3,0.0,0.0,4.0,96.0,22.004350324260187,-0.8349247713997893,
4,0.0,0.0,5.0,95.0,18.29850679231672,-0.7999463056336499,
5,0.0,0.0,6.0,94.0,15.30872772711512,-0.7585624120389411,
6,0.0,0.0,7.0,93.0,12.803816352459908,-0.709235362236315,
7,0.0,0.0,8.0,92.0,11.834812355112497,-0.6677736878489957,
8,0.0,0.0,9.0,91.0,9.731727577886744,-0.600414063665639,
9,0.0,0.0,10.0,90.0,7.9333486837680365,-0.5269959386611868,
10,0.0,0.0,11.0,89.0,6.395120173086547,-0.45230419300317626,
11,0.0,0.0,12.0,88.0,5.111068771787667,-0.3817807348549692,
12,0.0,0.0,13.0,87.0,4.079769053327369,-0.3194501391243122,
13,0.0,0.0,14.0,86.0,3.2746627902562295,-0.2664964580033816,
14,0.0,0.0,15.0,85.0,2.6668798370901445,-0.22222766521510395,
15,0.0,0.0,16.0,84.0,2.19513364762681,-0.1844853452800047,
16,0.0,0.0,17.0,83.0,1.8232052730959594,-0.15151786590724148,
17,0.0,0.0,18.0,82.0,1.5264661260702361,-0.12203317295965643,
18,0.0,0.0,19.0,81.0,1.2879297140499077,-0.09501367990920906,
19,0.0,0.0,20.0,80.0,1.0948538595624555,-0.06961328874398098,
20,0.0,0.0,21.0,79.0,0.9328587775387709,-0.045088361790877385,
21,0.0,0.0,22.0,78.0,0.795128297291436,-0.02116840186629776,
22,0.0,0.0,23.0,77.0,0.6767222705955116,0.0023637703584784564,
23,0.0,0.0,24.0,76.0,0.5746518213218197,0.02602123706999926,
24,0.0,0.0,25.0,75.0,0.48561954677200037,0.04983164134609552,
25,0.0,0.0,26.0,74.0,0.4068177530643624,0.0738553848553003,
26,0.0,0.0,27.0,73.0,0.3364769843603521,0.09778028063648114,
27,0.0,0.0,28.0,72.0,0.273666995419527,0.12070047661653494,
28,0.0,0.0,29.0,71.0,0.21684733073091844,0.1426496094891938,
29,0.0,0.0,30.0,70.0,0.16477852199256082,0.16276144330132047,
30,0.0,0.0,31.0,69.0,0.11638644774788154,0.17916085858964714,
31,0.0,0.0,32.0,68.0,0.07065336590089699,0.1891307116015235,
32,0.0,0.0,33.0,67.0,0.027618163989782563,0.19060065615453636,
33,0.0,0.0,34.0,66.0,-0.009237315563162318,0.17415085323566726,
34,0.0,0.0,35.0,65.0,-0.031097692176361935,0.11022602376606216,
35,0.0,0.0,36.0,64.0,-0.0062431337022640365,-0.10725074581772709,
36,0.0,0.0,37.0,63.0,0.12468609772154426,-0.30802091204290905,
37,0.0,0.0,38.0,62.0,0.40674126522942844,-0.42761701859765255,
38,0.0,0.0,39.0,61.0,0.9979454323194075,-0.5030659962763856,
39,0.0,0.0,40.0,60.0,1.6233042280775378,-0.5109093718140714,
40,0.0,0.0,41.0,59.0,1.2052375585804134,-0.426404689237044,
41,0.0,0.0,42.0,58.0,0.9620157274763059,-0.40146813151584126,
42,0.0,0.0,43.0,57.0,0.929402025895876,-0.4607541655372547,
43,0.0,0.0,44.0,56.0,0.9640704418735366,-0.5646220742792352,
44,0.0,0.0,45.0,55.0,1.3328813545292824,-0.6410788971394316,
45,0.0,0.0,46.0,54.0,1.8476589079865682,-0.6669551664916085,
46,0.0,0.0,47.0,53.0,1.7614990282617833,-0.6204333783135214,
47,0.0,0.0,48.0,52.0,1.5408767414584674,-0.5919708635759691,
48,0.0,0.0,49.0,51.0,1.3472682809825338,-0.577191115719551,
49,0.0,0.0,50.0,50.0,0.823590122541987,-0.4854040916946404,
50,0.0,0.0,51.0,49.0,0.8761192144345804,-0.5134976860761171,
51,0.0,0.0,52.0,48.0,0.6704331903813667,-0.4681366978223911,
52,0.0,0.0,53.0,47.0,0.6105116355370639,-0.4635540210924166,
53,0.0,0.0,54.0,46.0,0.5964063390497518,-0.48136042860305295,
54,0.0,0.0,55.0,45.0,0.5538967775521406,-0.4825418140275243,
55,0.0,0.0,56.0,44.0,0.519905648207164,-0.4843645470623952,
56,0.0,0.0,57.0,43.0,0.4875867510422667,-0.4856682447662247,
57,0.0,0.0,58.0,42.0,0.4599060063284863,-0.48801092939789814,
58,0.0,0.0,59.0,41.0,0.42791514988659674,-0.4875216380353915,
59,0.0,0.0,60.0,40.0,0.40424252146892936,-0.4886021441968673,
60,0.0,0.0,61.0,39.0,0.38466992437547387,-0.49122382279140386,
61,0.0,0.0,62.0,38.0,0.3657864095436505,-0.4937268875564058,
62,0.0,0.0,63.0,37.0,0.3463658424239977,-0.49506942969479606,
63,0.0,0.0,64.0,36.0,0.326662812461882,-0.49579906022639697,
64,0.0,0.0,65.0,35.0,0.3090688158325354,-0.49730154796234716,
65,0.0,0.0,66.0,34.0,0.2887076437765628,-0.4961685482166216,
66,0.0,0.0,67.0,33.0,0.2725414318715078,-0.4974774490452145,
67,0.0,0.0,68.0,32.0,0.25592770858992586,-0.49790804545705103,
68,0.0,0.0,69.0,31.0,0.2404598919520593,-0.4985249361005829,
69,0.0,0.0,70.0,30.0,0.22738327760241406,-0.5008483787525586,
70,0.0,0.0,71.0,29.0,0.21430201243964264,-0.5028459013112119,
71,0.0,0.0,72.0,28.0,0.20015195160045662,-0.503283126311679,
72,0.0,0.0,73.0,27.0,0.18680047468388938,-0.5036756177692545,
73,0.0,0.0,74.0,26.0,0.1746534259496475,-0.5047291534709736,
