,0,1,2,3,passive,noise,value,trend
0,0.0,0.0,1.0,99.0,,,-0.0027991255317125763,2.8313592358220063e-05
1,0.0,0.0,2.0,98.0,,,-0.0033562037972346692,6.861036381611285e-05
2,0.0,0.0,3.0,97.0,,,-0.003607794101226247,0.00011178735850325694
3,0.0,0.0,4.0,96.0,,,-0.0034409162468252985,0.00014362658579614163
4,0.0,0.0,5.0,95.0,,,-0.003422707167074601,0.00018046461724230412
5,0.0,0.0,6.0,94.0,,,-0.0031483506874736555,0.0002012923408114542
6,0.0,0.0,7.0,93.0,,,-0.003014284413447643,0.00022724613048508147
7,0.0,0.0,8.0,92.0,,,-0.0028028103369280855,0.00024409042368511713
8,0.0,0.0,9.0,91.0,,,-0.0026910231185867106,0.00026653484802818816
9,0.0,0.0,10.0,90.0,,,-0.0025338201699982577,0.00028192782039870856
10,0.0,0.0,11.0,89.0,,,-0.002397170316560171,0.00029667421059342836
11,0.0,0.0,12.0,88.0,,,-0.0022843245306899407,0.0003118986102961241
12,0.0,0.0,13.0,87.0,,,-0.002211389626209148,0.00033085274412947285
13,0.0,0.0,14.0,86.0,,,-0.0021241787374234322,0.0003462186407692247
14,0.0,0.0,15.0,85.0,,,-0.002044581823070213,0.00036123737805748846
15,0.0,0.0,16.0,84.0,,,-0.001974487741255082,0.00037652964251888577
16,0.0,0.0,17.0,83.0,,,-0.001905913855994923,0.0003908107148584694
17,0.0,0.0,18.0,82.0,,,-0.0018506975921206426,0.00040670362641881397
18,0.0,0.0,19.0,81.0,,,-0.0017976383032834997,0.00042213055519124687
19,0.0,0.0,20.0,80.0,,,-0.0017495845628504592,0.00043786870254591825
20,0.0,0.0,21.0,79.0,,,-0.0017033937774070251,0.0004532832078680826
21,0.0,0.0,22.0,78.0,,,-0.001668096696036514,0.0004709859915175141
22,0.0,0.0,23.0,77.0,,,-0.0016353474291578296,0.000488993187549136
23,0.0,0.0,24.0,76.0,,,-0.0016185117767844037,0.0005116472464290478
24,0.0,0.0,25.0,75.0,,,-0.001653266526267072,0.0005516903038993437
25,0.0,0.0,26.0,74.0,,,-0.001793546251620981,0.0006309224657177204
26,0.0,0.0,27.0,73.0,,,-0.0021049109141965117,0.000779643557083709
27,0.0,0.0,28.0,72.0,,,-0.0027731054372095443,0.0010804929547139075
28,0.0,0.0,29.0,71.0,,,-0.0036190617941284087,0.0014819511274246633
29,0.0,0.0,30.0,70.0,,,-0.004164509862346399,0.001790071840507057
30,0.0,0.0,31.0,69.0,,,-0.00388483847572918,0.0017502535109741313
31,0.0,0.0,32.0,68.0,,,-0.0032978669001989536,0.0015556810466277327
32,0.0,0.0,33.0,67.0,,,-0.002974413942663845,0.0014682453754184532
33,0.0,0.0,34.0,66.0,,,-0.002666469365542823,0.0013763968102531443
34,0.0,0.0,35.0,65.0,,,-0.0025308381728799123,0.0013654002212699634
35,0.0,0.0,36.0,64.0,,,-0.0025760067293294497,0.0014519099118111
36,0.0,0.0,37.0,63.0,,,-0.002443766563914318,0.0014380030121461385
37,0.0,0.0,38.0,62.0,,,-0.0021156330691967096,0.0012988830730960021
38,0.0,0.0,39.0,61.0,,,-0.0018292999215158146,0.001171299332290321
39,0.0,0.0,40.0,60.0,,,-0.001613244176326245,0.0010769355250126456
40,0.0,0.0,41.0,59.0,,,-0.0014403160164391249,0.0010021129959953967
41,0.0,0.0,42.0,58.0,,,-0.0012053990201129627,0.0008737769636533166
42,0.0,0.0,43.0,57.0,,,-0.0011186265719501653,0.0008446986554420111
43,0.0,0.0,44.0,56.0,,,-0.0009503568242550386,0.0007473370164430282
44,0.0,0.0,45.0,55.0,,,-0.00078058971375361,0.0006391131124330318
45,0.0,0.0,46.0,54.0,,,-0.0007076432400290322,0.0006031978682277117
46,0.0,0.0,47.0,53.0,,,-0.0006270268453653083,0.000556366289627519
47,0.0,0.0,48.0,52.0,,,-0.0004682445135919533,0.00043241576296226825
48,0.0,0.0,49.0,51.0,,,-0.00019128062234397003,0.000183810634586834
49,0.0,0.0,50.0,50.0,,,1.250170408639839e-05,-1.2504027145587848e-05
50,0.0,0.0,51.0,49.0,,,0.00022747918207821627,-0.00023671190387808405
51,0.0,0.0,52.0,48.0,,,0.0004162578769104641,-0.0004507543374880907
52,0.0,0.0,53.0,47.0,,,0.0005276733865353656,-0.0005947067077315404
53,0.0,0.0,54.0,46.0,,,0.0006019544518338638,-0.0007061856959104107
54,0.0,0.0,55.0,45.0,,,0.0007155365047828433,-0.0008738565630816986
55,0.0,0.0,56.0,44.0,,,0.000848183260374169,-0.0010784754110718664
56,0.0,0.0,57.0,43.0,,,0.0009421354188925424,-0.0012475213789001627
57,0.0,0.0,58.0,42.0,,,0.001024207587189574,-0.0014126725384451255
58,0.0,0.0,59.0,41.0,,,0.001103761021804539,-0.0015862197236047315
59,0.0,0.0,60.0,40.0,,,0.0011548739056743695,-0.001729831947612559
60,0.0,0.0,61.0,39.0,,,0.0012118105736689255,-0.0018924770480055475
61,0.0,0.0,62.0,38.0,,,0.001247861877645251,-0.002032671800593411
62,0.0,0.0,63.0,37.0,,,0.0012817242524847394,-0.00217864917034738
63,0.0,0.0,64.0,36.0,,,0.0013159283007913025,-0.002335190799856224
64,0.0,0.0,65.0,35.0,,,0.0013306534058674657,-0.0024665586896320812
65,0.0,0.0,66.0,34.0,,,0.0013379394718255888,-0.002592113680543684
66,0.0,0.0,67.0,33.0,,,0.0013419056664429885,-0.0027189875857766
67,0.0,0.0,68.0,32.0,,,0.0013329019358137018,-0.002826573395923404
68,0.0,0.0,69.0,31.0,,,0.0013235450662056891,-0.002939726412298671
69,0.0,0.0,70.0,30.0,,,0.0013167805756097994,-0.0030658102800837916
70,0.0,0.0,71.0,29.0,,,0.0012949192784528218,-0.003163310797643648
71,0.0,0.0,72.0,28.0,,,0.0012650352336776027,-0.003245672267611188
72,0.0,0.0,73.0,27.0,,,0.0012348258664542922,-0.0033310452550607828
73,0.0,0.0,74.0,26.0,,,0.001201497128347162,-0.0034118241917341363
